;2rbina2rista;basta;brb;eldzhey;face;feduk;gnoiny;guf;husky;kasta;korzh;krovostok;kunteynir;lizer;lsp;morgenshtern;noizemc;skriptonite;timati;xleb
('р', 'а', 'б');0;104,8071548;114,1422212;58,19028222;273,0872514;0;432,2163243;78,87834986;155,0027125;147,8498409;160,7576068;186,8624692;241,2763519;350,4848374;63,83386174;161,9643031;251,3739874;277,7447129;158,1465228;389,3322951
('!', ' ', 'З');0;104,8071548;0;0;22,75727095;0;0;19,71958747;0;0;0;0;0;0;0;64,78572123;11,42609033;39,67781613;276,7564148;0
('я', '.', '.');0;34,93571828;0;0;0;0;27,01352027;59,1587624;0;0;0;10,99190995;120,638176;16,68975416;0;32,39286061;28,56522584;52,90375484;118,6098921;0
('Т', 'о', 'р');0;11,64523943;0;0;0;0;27,01352027;0;0;7,040468614;0;10,99190995;30,15954399;0;21,27795391;32,39286061;0;0;0;0
('-', 'т', 'р');0;0;228,2844424;0;22,75727095;0;0;19,71958747;0;7,040468614;0;0;0;0;85,11181565;0;17,1391355;0;0;0
('п', 'к', 'и');0;0;0;174,5708467;0;0;94,54732093;19,71958747;271,254747;21,12140584;0;142,8948294;30,15954399;50,06926248;0;0;5,713045167;211,6150194;0;0
('.', '\n', 'Т');0;23,29047885;0;0;0;0;0;0;0;7,040468614;43,84298366;0;90,47863196;0;0;32,39286061;34,278271;0;0;0
('й', ' ', 'И');66,6888963;0;0;58,19028222;0;0;0;0;0;7,040468614;0;10,99190995;0;0;0;0;0;0;0;0
('т', 'я', ',');0;0;0;58,19028222;0;91,97939662;0;0;0;0;58,45731155;10,99190995;0;0;0;0;0;0;39,53663069;0
('л', 'н', ' ');0;0;0;0;0;0;0;0;19,37533907;0;0;0;0;0;0;0;0;0;0;0
('ф', 'ь', 'и');0;0;0;0;0;0;0;0;0;0;0;0;30,15954399;0;0;0;0;0;0;0
('ё', 'л', ')');0;0;0;0;0;0;0;0;0;14,08093723;0;0;0;0;0;0;0;0;0;0
('е', ' ', '(');0;0;798,9955485;58,19028222;432,388148;0;499,7501249;19,71958747;19,37533907;7,040468614;0;0;0;150,2077874;42,55590782;64,78572123;5,713045167;119,0334484;0;0
('ы', 'щ', 'и');0;0;0;0;22,75727095;0;0;0;0;7,040468614;0;0;30,15954399;0;0;0;51,41740651;0;0;0
('б', 'р', 'ы');0;11,64523943;0;0;0;0;54,02704053;19,71958747;77,50135627;35,20234307;131,528951;54,95954977;30,15954399;0;42,55590782;64,78572123;137,113084;0;0;0
('(', 'Т', 'а');0;0;0;0;0;0;0;0;38,75067814;0;0;0;0;0;0;0;39,99131617;290,9706516;0;0
('а', 'т', 'м');0;0;0;58,19028222;0;0;0;0;0;7,040468614;0;0;30,15954399;0;0;0;28,56522584;13,22593871;0;0
('ы', ' ', 'Р');0;46,5809577;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;0;0;0;39,53663069;0
('з', 'П', 'е');0;0;0;0;0;0;0;19,71958747;0;0;0;0;0;0;0;0;0;0;0;0
('д', '-', 'у');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39,53663069;0
('т', 'в', 'ё');0;0;0;58,19028222;22,75727095;0;13,50676013;0;0;7,040468614;0;10,99190995;30,15954399;0;0;0;0;0;0;0
('е', 'п', 'р');133,3777926;58,22619713;0;0;182,0581676;0;81,0405608;59,1587624;77,50135627;63,36421752;0;98,92718959;180,9572639;83,4487708;85,11181565;64,78572123;114,2609033;26,45187742;39,53663069;0
('е', 'р', 'б');0;11,64523943;0;0;22,75727095;0;27,01352027;19,71958747;38,75067814;14,08093723;0;0;0;0;21,27795391;0;22,85218067;39,67781613;39,53663069;0
('ё', 'р', 'с');66,6888963;0;228,2844424;0;0;0;0;0;38,75067814;0;0;10,99190995;0;0;0;0;5,713045167;0;0;0
"('е', 'ц', '""')";0;0;0;0;0;0;0;19,71958747;0;0;0;0;0;0;0;0;0;0;0;0
('е', ' ', 'п');466,8222741;1315,912055;684,8533272;2385,801571;1319,921715;919,7939662;1593,797696;1991,678334;949,3916144;1302,486694;2250,606495;1472,915934;1960,370359;1485,38812;2276,741069;1425,285867;1553,948286;1256,464178;1541,928597;1103,108169
('и', '\n', 'У');66,6888963;93,16191541;0;0;22,75727095;0;13,50676013;78,87834986;38,75067814;21,12140584;58,45731155;21,98381991;60,31908798;133,5180333;42,55590782;0;57,13045167;0;39,53663069;64,88871585
('?', '\n', 'Ж');0;0;0;0;0;0;13,50676013;19,71958747;0;0;0;21,98381991;0;0;0;0;0;0;39,53663069;0
('и', 'е', 'в');0;0;0;0;0;0;13,50676013;0;0;0;14,61432789;0;0;0;0;0;17,1391355;0;0;0
('ж', 'и', ',');0;81,51667598;0;0;68,27181284;91,97939662;148,5743615;118,3175248;0;84,48562336;87,68596732;120,9110095;0;66,75901664;0;0;11,42609033;66,12969356;197,6831534;0
('з', '\n', 'И');0;0;0;0;0;0;0;0;19,37533907;7,040468614;0;0;0;16,68975416;21,27795391;0;5,713045167;0;0;0
('я', 'т', 'ь');266,7555852;419,2286193;684,8533272;232,7611289;978,5626508;1931,567329;999,5002499;670,4659739;271,254747;725,1682672;716,1020665;395,7087584;301,5954399;550,7618873;383,0031704;388,7143274;588,4436522;1058,075097;1146,56229;454,221011
('\u200a', ' ', 'Л');200,0666889;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
('С', 'о', 'г');0;11,64523943;0;0;0;0;13,50676013;0;0;7,040468614;0;0;0;0;0;0;5,713045167;0;0;0
('“', 'Ч', 'е');0;0;0;0;0;0;13,50676013;0;0;0;0;0;0;0;0;0;0;0;0;0
('е', ' ', 'б');466,8222741;489,1000559;1027,279991;407,3319756;1570,251695;919,7939662;1094,047571;631,0267989;465,0081376;823,7348278;847,6310174;417,6925783;633,3504237;884,5569705;489,39294;1295,714425;754,1219621;555,4894259;751,1959831;908,4420219
('я', 'т', '-');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;0;0;0;0;0
"('""', '\n', 'О')";0;0;0;0;0;0;13,50676013;0;38,75067814;0;14,61432789;0;0;0;0;32,39286061;11,42609033;0;39,53663069;0
(' ', 'П', 'я');0;0;0;0;0;0;0;19,71958747;0;0;0;10,99190995;0;0;0;0;5,713045167;0;0;0
('‚', ' ', 'г');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64,88871585
('х', 'о', 'з');0;0;0;0;22,75727095;0;121,5608412;19,71958747;271,254747;28,16187445;87,68596732;43,96763982;30,15954399;16,68975416;21,27795391;0;11,42609033;0;0;0
('б', 'н', 'е');0;11,64523943;0;0;0;0;0;19,71958747;19,37533907;0;0;21,98381991;30,15954399;0;21,27795391;0;22,85218067;0;0;0
('т', 'в', 'я');0;0;0;0;0;0;0;0;0;0;0;32,97572986;0;0;0;0;0;0;0;0
('м', ')', ',');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;0;21,27795391;0;0;0;0;0
('а', 'у', 'т');0;0;0;0;0;0;94,54732093;19,71958747;96,87669534;7,040468614;0;0;0;0;0;0;5,713045167;0;0;0
('н', 'и', 'с');0;58,22619713;114,1422212;116,3805644;45,5145419;91,97939662;13,50676013;39,43917493;19,37533907;126,728435;0;65,95145973;90,47863196;0;255,3354469;0;34,278271;92,58157098;0;583,9984427
('«', 'Д', 'ы');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;0;0;0;0;0
('р', 'м', 'я');0;11,64523943;0;0;0;0;13,50676013;19,71958747;0;7,040468614;0;0;0;0;0;0;0;0;0;0
('у', 'б', 'я');0;0;0;0;0;0;0;0;0;0;0;10,99190995;0;0;0;0;0;0;0;0
('е', 'и', ',');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34,278271;0;0;0
('ф', 'р', 'и');66,6888963;11,64523943;0;0;0;0;0;0;0;0;0;0;60,31908798;0;0;0;11,42609033;0;0;129,7774317
('С', '-', '7');0;0;0;0;22,75727095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
('я', 'й', ' ');0;23,29047885;0;0;22,75727095;0;81,0405608;0;0;14,08093723;58,45731155;54,95954977;0;16,68975416;0;0;22,85218067;0;0;0
('ь', ' ', 'П');66,6888963;0;0;0;22,75727095;0;13,50676013;0;0;0;14,61432789;0;0;0;0;0;5,713045167;13,22593871;0;0
('а', 'о', 'о');0;0;0;0;0;0;0;19,71958747;0;0;0;0;0;0;0;0;0;0;0;0
('Ц', 'о', 'я');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
(' ', 'Т', 'о');0;11,64523943;114,1422212;0;0;0;27,01352027;19,71958747;19,37533907;14,08093723;14,61432789;43,96763982;90,47863196;16,68975416;21,27795391;0;5,713045167;13,22593871;39,53663069;0
('я', 'ц', ' ');0;0;0;0;68,27181284;0;40,5202804;19,71958747;19,37533907;7,040468614;0;10,99190995;0;0;0;32,39286061;0;13,22593871;0;0
('о', 'е', '-');0;0;0;0;0;0;0;39,43917493;19,37533907;21,12140584;14,61432789;21,98381991;0;0;0;0;0;0;0;0
('л', 'у', 'б');0;104,8071548;0;0;22,75727095;367,9175865;108,0540811;157,7566997;232,5040688;133,7689037;43,84298366;274,7977489;934,9458636;116,8282791;127,6677235;0;182,8174454;119,0334484;197,6831534;778,6645902
('С', 'а', 'н');0;0;0;0;0;0;13,50676013;0;0;0;14,61432789;10,99190995;60,31908798;0;0;0;17,1391355;0;0;3114,658361
('н', 'т', ',');0;11,64523943;0;0;45,5145419;0;13,50676013;19,71958747;0;56,32374891;29,22865577;65,95145973;0;33,37950832;21,27795391;32,39286061;17,1391355;39,67781613;0;0
('а', 'у', 'к');0;0;0;0;22,75727095;0;13,50676013;0;0;21,12140584;0;0;30,15954399;0;0;0;17,1391355;0;0;0
('р', 'е', 'й');0;104,8071548;114,1422212;58,19028222;204,8154385;0;40,5202804;0;77,50135627;63,36421752;43,84298366;98,92718959;120,638176;33,37950832;85,11181565;356,3214667;131,4000388;66,12969356;197,6831534;129,7774317
('-', 'о', '\n');0;0;0;0;0;0;54,02704053;0;0;0;58,45731155;0;0;216,9668041;0;388,7143274;11,42609033;0;0;194,6661476
('а', '-', 'Г');0;0;0;0;0;0;0;0;484,3834767;0;0;0;0;0;0;0;0;0;0;0
('о', ' ', 'Р');0;23,29047885;0;0;22,75727095;0;13,50676013;0;561,884833;0;0;32,97572986;0;0;0;0;28,56522584;13,22593871;0;0
('б', 'ы', 'щ');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;0;0;0;0;0
('ч', 'ё', 'р');66,6888963;23,29047885;114,1422212;58,19028222;91,02908379;0;108,0540811;0;581,2601721;126,728435;73,07163944;10,99190995;0;33,37950832;659,6165713;129,5714425;291,3653035;13,22593871;39,53663069;0
('Я', 'к', 'щ');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;0;0;0;0;0
('е', 'п', 'н');66,6888963;0;0;0;0;0;0;0;58,12601721;7,040468614;0;0;0;16,68975416;21,27795391;32,39286061;0;0;0;64,88871585
"(' ', '""', 'З')";0;11,64523943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('Э', 'н', 'е');0;0;114,1422212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
('ю', 'с', '\n');0;0;0;0;0;0;0;19,71958747;0;0;14,61432789;0;0;0;0;0;0;0;0;0
('г', 'л', 'и');0;46,5809577;0;0;0;91,97939662;40,5202804;59,1587624;58,12601721;42,24281168;14,61432789;32,97572986;120,638176;16,68975416;63,83386174;0;28,56522584;0;0;64,88871585
('о', 'е', 'д');266,7555852;11,64523943;0;0;0;0;13,50676013;0;193,7533907;112,6474978;0;43,96763982;30,15954399;0;42,55590782;0;28,56522584;26,45187742;0;0
(':', ' ', 'к');0;23,29047885;0;0;0;0;0;0;19,37533907;7,040468614;14,61432789;21,98381991;0;0;0;0;28,56522584;13,22593871;39,53663069;0
(':', ' ', 'С');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39,53663069;0
('л', 'п', 'и');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;0;22,85218067;0;39,53663069;0
(' ', 'Г', 'Р');0;0;0;0;0;0;13,50676013;0;0;0;0;0;0;0;0;0;0;0;0;0
('ё', '?', '\n');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;16,68975416;21,27795391;0;0;0;0;0
('и', 'с', 'ы');0;11,64523943;0;0;0;0;0;0;0;14,08093723;0;10,99190995;0;0;0;0;5,713045167;79,35563227;0;0
(',', ' ', 'т');733,5778593;838,4572387;684,8533272;581,9028222;1137,863547;1195,732156;945,4732093;847,942261;678,1368674;1239,122476;1183,760559;1439,940204;723,8290557;801,1081997;978,7858799;1392,893006;874,0959106;1296,141994;1541,928597;1232,885601
('ы', 'х', '!');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39,53663069;0
('м', '\n', 'Ш');0;0;0;58,19028222;0;0;0;0;0;28,16187445;0;10,99190995;0;0;0;0;5,713045167;13,22593871;0;0
('л', 'ю', 'ч');0;104,8071548;0;232,7611289;45,5145419;0;27,01352027;98,59793733;77,50135627;168,9712467;160,7576068;43,96763982;30,15954399;50,06926248;106,3897696;0;97,12176784;52,90375484;751,1959831;0
('О', 'р', 'е');0;0;0;0;0;0;0;0;0;14,08093723;0;10,99190995;0;0;0;0;0;0;0;0
('й', 'ц', 'ы');0;0;0;0;0;0;0;0;0;0;14,61432789;54,95954977;0;0;0;0;17,1391355;0;0;0
"('""', 'з', 'д')";0;11,64523943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"('""', 'Л', 'ю')";0;23,29047885;0;0;0;0;0;0;19,37533907;0;0;0;0;16,68975416;0;0;11,42609033;0;0;0
('н', 'о', ' ');933,6445482;2107,788336;1940,417761;1920,279313;2070,911656;1195,732156;1485,743615;3135,414407;1085,018988;1936,128869;2469,821413;2352,26873;1839,732183;1919,321728;1617,124497;1814,000194;1856,739679;2552,606171;1897,758273;1103,108169
('?', '\n', 'А');133,3777926;0;0;0;22,75727095;0;40,5202804;19,71958747;58,12601721;105,6070292;14,61432789;21,98381991;90,47863196;0;21,27795391;32,39286061;22,85218067;13,22593871;0;0
('м', 'е', 'в');0;23,29047885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,42609033;0;0;0
('3', '%', '\n');0;0;0;116,3805644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
('—', ' ', 'Д');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;32,39286061;11,42609033;39,67781613;0;0
('у', 'х', 'с');0;0;0;58,19028222;0;0;0;0;0;0;0;0;30,15954399;0;0;0;0;0;0;0
('о', 'л', ')');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26,45187742;0;0
('л', 'л', 'ё');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;0;0;0;0;0
('о', 'з', 'м');0;116,4523943;0;0;22,75727095;0;40,5202804;19,71958747;19,37533907;49,2832803;73,07163944;98,92718959;241,2763519;16,68975416;0;0;62,84349684;52,90375484;0;0
('с', 'я', 'с');0;0;0;0;0;0;0;0;0;0;0;10,99190995;0;0;0;0;0;0;0;0
('С', 'п', 'р');533,5111704;11,64523943;0;0;22,75727095;0;27,01352027;19,71958747;19,37533907;35,20234307;0;0;0;0;0;0;5,713045167;105,8075097;0;0
('а', 'р', 'е');200,0666889;139,7428731;0;174,5708467;250,3299804;183,9587932;783,3920877;157,7566997;155,0027125;380,1853051;102,3002952;175,8705593;331,7549839;300,4155749;234,057493;129,5714425;182,8174454;158,7112645;237,2197841;0
('в', 'ё', 'л');0;23,29047885;0;0;0;0;0;19,71958747;19,37533907;7,040468614;0;0;0;0;0;0;5,713045167;0;0;0
('«', '…', 'и');0;0;0;0;0;0;13,50676013;0;0;0;0;0;0;0;0;0;0;0;0;0
('л', 'ы', 'н');0;0;0;0;0;0;0;0;0;7,040468614;0;10,99190995;0;0;0;0;0;0;0;0
('о', '-', 'г');0;0;0;0;0;0;0;0;0;21,12140584;14,61432789;10,99190995;150,7977199;0;0;0;0;0;0;0
('а', 'н', ' ');133,3777926;116,4523943;0;290,9514111;22,75727095;0;499,7501249;138,0371123;271,254747;168,9712467;102,3002952;153,8867394;90,47863196;16,68975416;319,1693087;64,78572123;137,113084;185,163142;158,1465228;0
"('""', 'у', 'л')";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26,45187742;0;0
('н', 'т', '?');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;0;0;13,22593871;0;0
('о', '́', 'с');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;0;0;0;0;0
('т', 'т', 'и');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;0;21,27795391;0;0;0;0;0
('Ц', 'Р', 'У');0;0;0;0;0;0;0;0;0;0;14,61432789;0;0;0;0;0;0;0;0;0
('б', 'я', 'с');0;0;0;0;0;0;0;0;19,37533907;0;0;0;0;0;0;0;0;0;0;0
('р', 'у', ')');0;0;0;0;0;0;13,50676013;0;0;0;0;0;0;0;0;0;0;0;0;0
('Э', 'к', 'о');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,42609033;0;0;0
('т', 'а', '.');0;0;0;0;0;0;229,6149223;19,71958747;0;14,08093723;0;0;0;0;0;0;11,42609033;13,22593871;0;0
('Х', 'а', 'р');66,6888963;0;0;0;45,5145419;0;13,50676013;0;0;0;0;21,98381991;0;0;0;0;11,42609033;0;0;0
('г', ' ', 'б');0;58,22619713;0;0;0;0;40,5202804;0;58,12601721;28,16187445;0;10,99190995;0;16,68975416;21,27795391;0;11,42609033;0;39,53663069;0
('е', ' ', 'Е');0;0;0;0;0;0;0;0;0;0;0;10,99190995;0;0;0;0;0;0;0;0
('д', '\n', 'Я');0;34,93571828;0;58,19028222;22,75727095;0;0;39,43917493;0;0;29,22865577;21,98381991;0;33,37950832;42,55590782;32,39286061;0;0;79,07326138;0
('О', 'г', 'о');0;0;0;174,5708467;0;0;0;0;0;0;0;10,99190995;60,31908798;0;0;0;5,713045167;0;0;0
('о', '-', 'х');0;0;0;0;0;0;27,01352027;0;19,37533907;14,08093723;14,61432789;0;0;0;0;0;0;0;0;0
('х', 'л', 'ю');66,6888963;11,64523943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('ж', '\n', 'В');0;0;0;0;0;0;13,50676013;0;0;0;0;0;0;0;0;0;11,42609033;0;0;0
('а', 'м', 'е');0;232,9047885;114,1422212;116,3805644;91,02908379;367,9175865;1269,635453;118,3175248;348,7561032;281,6187445;350,7438693;219,8381991;422,2336158;317,105329;297,8913548;64,78572123;319,9305294;79,35563227;711,6593524;0
('в', ' ', 'Ж');0;11,64523943;0;0;0;0;0;0;0;7,040468614;0;10,99190995;0;0;0;0;0;0;0;0
('ж', 'ж', 'и');0;0;0;0;0;0;13,50676013;0;0;0;0;0;0;0;0;0;0;0;0;0
('-', 'ы', 'е');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,42609033;0;0;0
('а', 'щ', 'и');133,3777926;34,93571828;0;0;0;0;108,0540811;39,43917493;0;126,728435;14,61432789;32,97572986;90,47863196;50,06926248;21,27795391;32,39286061;45,70436134;423,2300388;39,53663069;0
('х', 'м', 'о');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('ю', 'к', '\n');0;0;0;0;0;0;0;0;0;0;0;0;30,15954399;0;0;0;0;0;0;0
('р', 'у', 'т');266,7555852;244,5500279;114,1422212;1396,566773;68,27181284;275,9381898;135,0676013;157,7566997;174,3780516;154,8903095;292,2865577;263,8058389;241,2763519;216,9668041;127,6677235;129,5714425;262,8000777;132,2593871;79,07326138;64,88871585
('о', 'б', 'в');66,6888963;11,64523943;0;0;45,5145419;0;27,01352027;0;19,37533907;7,040468614;0;0;0;0;0;0;11,42609033;0;0;0
(',', ' ', 'ф');0;34,93571828;0;0;22,75727095;0;13,50676013;78,87834986;0;77,44515475;0;43,96763982;30,15954399;0;0;0;22,85218067;0;39,53663069;64,88871585
('и', 'з', 'г');0;11,64523943;0;0;0;0;0;0;38,75067814;21,12140584;0;21,98381991;30,15954399;0;0;0;17,1391355;0;0;0
('Я', 'к', '!');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;304,1965904;0;0
('д', 'р', 'я');0;23,29047885;0;0;0;0;13,50676013;39,43917493;19,37533907;35,20234307;0;0;0;0;63,83386174;0;5,713045167;66,12969356;0;0
('б', 'у', 'ю');0;0;0;0;0;0;13,50676013;19,71958747;19,37533907;14,08093723;14,61432789;21,98381991;0;0;0;0;22,85218067;0;0;0
('-', 'г', 'р');0;0;0;0;0;0;0;0;0;7,040468614;0;0;150,7977199;0;21,27795391;0;0;0;0;0
(' ', 'э', 'с');0;23,29047885;0;0;0;91,97939662;0;0;38,75067814;7,040468614;0;0;60,31908798;0;0;0;51,41740651;26,45187742;0;0
('в', 'а', 'л');1133,711237;430,8738588;798,9955485;290,9514111;341,3590642;735,8351729;324,1622432;591,587624;348,7561032;457,6304599;263,057902;593,5631375;241,2763519;267,0360666;489,39294;323,9286061;348,4957552;595,167242;237,2197841;324,4435793
('е', 'и', 'х');0;0;0;0;0;0;0;0;19,37533907;0;0;0;0;0;0;0;85,69567751;0;0;0
('у', 'н', 'и');0;11,64523943;114,1422212;0;68,27181284;0;108,0540811;19,71958747;0;70,40468614;43,84298366;76,94336968;150,7977199;0;42,55590782;64,78572123;45,70436134;39,67781613;0;64,88871585
('с', 'я', '!');133,3777926;0;0;0;0;0;0;0;0;21,12140584;0;0;0;0;21,27795391;0;57,13045167;0;79,07326138;0
('с', ' ', 'к');0;151,3881125;0;0;91,02908379;183,9587932;67,53380067;78,87834986;174,3780516;126,728435;116,9146231;164,8786493;90,47863196;116,8282791;191,5015852;129,5714425;188,5304905;343,8744065;237,2197841;64,88871585
('а', '!', '\n');600,2000667;267,8405068;228,2844424;349,1416933;0;0;216,1081621;118,3175248;290,630086;176,0117153;73,07163944;10,99190995;30,15954399;50,06926248;106,3897696;129,5714425;434,1914327;119,0334484;0;0
('я', '\n', 'Э');66,6888963;104,8071548;0;0;22,75727095;91,97939662;40,5202804;19,71958747;38,75067814;21,12140584;14,61432789;10,99190995;90,47863196;66,75901664;0;0;34,278271;0;79,07326138;0
('с', 'т', 'б');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('Г', 'р', 'я');0;0;0;0;0;0;13,50676013;0;38,75067814;0;0;0;0;0;0;0;11,42609033;0;0;0
('…', '\n', '(');0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,55590782;0;0;0;0;0
"(' ', '""', 'Н')";0;0;114,1422212;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;26,45187742;39,53663069;0
('К', 'у', 'х');0;0;0;0;0;0;0;0;19,37533907;0;0;0;0;0;0;0;11,42609033;0;0;0
('М', 'С', '\n');0;0;0;0;0;0;0;0;0;21,12140584;0;0;0;0;0;0;0;0;0;583,9984427
('е', 'ц', '»');0;0;0;0;0;0;0;0;0;0;0;0;0;0;21,27795391;0;0;0;0;0
('л', 'я', 'е');0;93,16191541;0;116,3805644;0;735,8351729;148,5743615;59,1587624;0;105,6070292;160,7576068;153,8867394;241,2763519;200,2770499;21,27795391;0;34,278271;39,67781613;0;0
('т', 'я', ' ');66,6888963;34,93571828;114,1422212;0;91,02908379;0;27,01352027;138,0371123;19,37533907;77,44515475;58,45731155;131,9029195;30,15954399;66,75901664;85,11181565;64,78572123;39,99131617;39,67781613;39,53663069;0
('и', 'н', '?');0;34,93571828;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;0;5,713045167;0;0;0
('з', ' ', 'ш');0;0;0;0;0;0;0;0;19,37533907;0;0;10,99190995;0;0;21,27795391;0;11,42609033;0;0;0
('э', 'н', 'д');0;0;0;0;0;0;13,50676013;0;19,37533907;0;43,84298366;10,99190995;0;0;0;0;28,56522584;0;0;0
('а', 'б', 'к');0;34,93571828;0;58,19028222;0;183,9587932;0;0;38,75067814;28,16187445;14,61432789;65,95145973;0;16,68975416;21,27795391;0;182,8174454;171,9372032;0;0
('ы', 'х', '.');0;0;0;0;0;0;0;0;19,37533907;7,040468614;0;0;0;0;0;0;0;0;0;0
('а', 'а', '!');0;0;114,1422212;0;0;0;0;0;0;0;0;0;180,9572639;0;0;0;5,713045167;0;0;0
('и', 'у', '!');0;0;0;0;0;0;13,50676013;0;0;0;0;0;0;0;0;0;0;0;0;0
('ч', 'е', 'б');0;11,64523943;0;58,19028222;0;0;0;0;0;7,040468614;0;10,99190995;0;0;0;0;5,713045167;0;0;0
('з', '\n', 'П');0;23,29047885;0;0;0;0;0;0;19,37533907;7,040468614;14,61432789;32,97572986;0;0;0;0;5,713045167;0;0;0
(',', ' ', 'Д');0;0;0;0;0;0;27,01352027;19,71958747;116,2520344;0;14,61432789;10,99190995;30,15954399;0;0;0;11,42609033;0;0;0
('ч', 'у', 'я');0;0;114,1422212;0;0;0;0;0;0;14,08093723;0;0;0;0;0;0;0;0;0;0
('л', 'ь', ' ');666,888963;477,4548165;114,1422212;116,3805644;136,5436257;0;189,0946419;256,3546371;310,0054251;352,0234307;146,1432789;340,7492086;120,638176;367,1745915;106,3897696;129,5714425;108,5478582;132,2593871;434,9029376;0
('ь', 'е', 'д');0;0;114,1422212;0;22,75727095;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('с', 'у', 'ю');0;0;114,1422212;58,19028222;0;0;40,5202804;0;0;0;14,61432789;0;0;0;0;0;0;0;0;0
('ь', 'ю', '”');0;0;0;0;0;0;0;0;0;0;0;10,99190995;0;0;0;0;0;0;0;0
('е', 'м', '.');0;0;0;0;0;0;0;19,71958747;0;0;0;0;30,15954399;0;21,27795391;0;0;0;0;0
('К', 'л', 'а');0;0;114,1422212;0;0;0;13,50676013;0;0;14,08093723;0;0;0;0;21,27795391;0;22,85218067;26,45187742;0;0
('Ю', 'л', 'я');0;69,87143656;0;0;0;0;0;0;0;14,08093723;0;10,99190995;0;0;0;0;0;0;0;0
('ж', 'а', 'ж');0;11,64523943;0;0;0;91,97939662;0;19,71958747;19,37533907;0;0;0;0;0;0;0;0;0;0;0
('н', 'у', 'п');0;0;0;0;0;0;0;0;0;0;0;10,99190995;0;0;0;0;0;0;0;0
('у', '-', 'Р');0;0;0;174,5708467;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
('ж', 'ё', 'г');0;0;0;0;0;0;0;0;19,37533907;0;0;0;0;16,68975416;0;0;51,41740651;26,45187742;0;0
('е', ' ', 'А');0;0;0;0;0;0;13,50676013;0;0;7,040468614;0;10,99190995;0;0;42,55590782;0;5,713045167;0;0;0
('б', 'в', 'о');66,6888963;0;0;0;22,75727095;0;13,50676013;0;0;0;0;0;0;0;21,27795391;0;0;0;0;0
('-', ',', ' ');0;0;0;0;0;0;0;0;0;0;0;10,99190995;0;0;0;0;11,42609033;0;0;0
('\n', '0', '!');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('ь', 'г', 'и');66,6888963;58,22619713;0;0;273,0872514;91,97939662;54,02704053;0;0;63,36421752;131,528951;32,97572986;60,31908798;400,5540998;106,3897696;388,7143274;17,1391355;264,5187742;158,1465228;129,7774317
('е', 'л', ')');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,39286061;0;0;0;0
